数据年月,贸易伙伴编码,贸易伙伴名称,商品编码,商品名称,美元
202511,502,美国,106,其他活动物,896422.0
202511,502,美国,208,其他鲜、冷、冻肉及食用杂碎,89138.0
202511,502,美国,301,活鱼,54973.0
202511,502,美国,302,鲜、冷鱼，但品目03.04的鱼片及其他鱼肉除外,278073.0
202511,502,美国,303,冻鱼，但品目03.04的鱼片及其他鱼肉除外,8213792.0
202511,502,美国,304,鲜、冷、冻鱼片及其他鱼肉（不论是否绞碎）,54210627.0
202511,502,美国,305,干、盐腌或盐渍的鱼； 熏鱼，不论在熏制前或熏制过程中是否烹煮,2062111.0
202511,502,美国,306,活、鲜、冷、冻、干、盐腌、盐渍、熏制的带壳或去壳甲壳动物；蒸过或用水煮过的带壳甲壳动物,7614159.0
202511,502,美国,307,活、鲜、冷、冻、干、盐腌、盐渍、熏制的带壳或去壳软体动物,16684025.0
202511,502,美国,308,不属于甲壳动物及软体动物的水生无脊椎动物，活、鲜、冷、冻、干、盐腌或盐渍、熏制的,273049.0
202511,502,美国,402,浓缩、加糖或其他甜物质的乳及稀奶油,105575.0
202511,502,美国,403,酸乳；酪乳、结块的乳及稀奶油、酸乳酒及其他发酵或酸化的乳和稀奶油，不论是否浓缩、加糖、加其他甜物质、加香料、加水果、加坚果或加可可,193006.0
202511,502,美国,407,带壳禽蛋，鲜、腌制或煮过的,857403.0
202511,502,美国,408,去壳禽蛋及蛋黄，鲜、干、冻、蒸过或水煮、制成形或用其他方法保藏的，不论是否加糖或其他甜物质,625336.0
202511,502,美国,409,天然蜂蜜,2932.0
202511,502,美国,410,其他品目未列名的昆虫及其他食用动物产品,521172.0
202511,502,美国,502,猪鬃、猪毛；獾毛及其他制刷用兽毛；上述鬃毛的废料,35038.0
202511,502,美国,504,整个或切块的动物（鱼除外）的肠、膀胱及胃，鲜、冷、冻、干、熏、盐腌及盐渍的,9785283.0
202511,502,美国,505,带有羽毛或羽绒的鸟皮及鸟体其他部分；羽毛及不完整羽毛（不论是否修边）、羽绒，仅经洗涤、消毒或为了保藏而作过处理，但未经进一步加工；羽毛或不完整羽毛的粉末及废料,3448409.0
202511,502,美国,507,兽牙、龟壳、鲸须、鲸须毛、角、鹿角、蹄、甲、爪及喙，未经加工或仅简单整理但未切割成形；上述产品的粉末及废料,8500.0
202511,502,美国,508,珊瑚及类似品，未经加工或仅简单整理但未经进一步加工；软体动物壳、甲壳动物壳、棘皮动物壳、墨鱼骨，未经加工或仅简单整理但未切割成形，上述壳、骨的粉末及废料,111030.0
202511,502,美国,511,未列名的动物产品；不适合供人食用的第1或第3章的死动物,5965163.0
202511,502,美国,601,鳞茎、块茎、块根、球茎、根颈及根茎，休眠、生长或开花的；菊苣植物及其根，但品目12.12的根除外,137738.0
202511,502,美国,602,其他活植物（包括其根）、插枝及接穗；蘑菇菌丝,3875360.0
202511,502,美国,603,制花束或装饰用的插花及花蕾，鲜、干、染色、漂白、浸渍或用其他方法处理的,2926523.0
202511,502,美国,604,制花束或装饰用的不带花及花蕾的植物枝、叶或其他部分、草、苔藓及地衣，鲜、干、染色、漂白、浸渍或用其他方法处理的,610088.0
202511,502,美国,703,鲜或冷藏洋葱、青葱、大蒜、韭葱及其他葱属蔬菜,7748641.0
202511,502,美国,709,鲜或冷藏的其他蔬菜,3156275.0
202511,502,美国,710,冷冻蔬菜（不论是否蒸煮）,11323669.0
202511,502,美国,711,暂时保藏的蔬菜，但不适于直接食用,41830.0
202511,502,美国,712,干蔬菜，整个、切块、切片、破碎或制成粉状，但未经进一步加工的,28344876.0
202511,502,美国,713,脱荚的干豆，不论是否去皮或分瓣,773097.0
202511,502,美国,714,鲜、冷、冻或干的木薯、竹竿、兰科植物块茎、菊芋、甘薯及含有高淀粉或菊粉的类似根茎，不论是否切片或制成团粒；西谷茎髓,1399554.0
202511,502,美国,802,鲜或干的其他坚果，不论是否去壳或去皮,3304772.0
202511,502,美国,803,鲜或干的香蕉，包括芭蕉,70834.0
202511,502,美国,804,鲜或干的椰枣、无花果、菠萝、鳄梨、番石榴、芒果及山竹果,272663.0
202511,502,美国,805,鲜或干的柑桔属水果,404528.0
202511,502,美国,806,鲜或干的葡萄,11373.0
202511,502,美国,808,鲜的苹果、梨及???,3007179.0
202511,502,美国,811,冷冻水果及坚果，不论是否蒸煮，加糖或其他甜物质,438819.0
202511,502,美国,813,品目0801至0806以外的干果；本章的什锦坚果或干果,9133660.0
202511,502,美国,814,柑桔属水果或甜瓜（包括西瓜）的果皮，鲜、冻、干或用盐水、亚硫酸水或其他防腐液暂时保藏的,16855.0
202511,502,美国,901,咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,40109.0
202511,502,美国,902,茶，不论是否加香料,6455921.0
202511,502,美国,904,胡椒；辣椒干及辣椒粉,6920241.0
202511,502,美国,906,肉桂及肉桂花,34832.0
202511,502,美国,907,丁香（母丁香、公丁香及丁香梗）,49286.0
202511,502,美国,908,肉豆蔻、肉豆蔻衣及豆蔻,900.0
202511,502,美国,909,茴芹子、八角茴香、小茴香子、芫荽子、枯茗子及黄蒿子；杜松果,220640.0
202511,502,美国,910,姜、番红花、姜黄、麝香草、月桂叶、咖喱及其他调味香料,4477748.0
202511,502,美国,1003,大麦,1158.0
202511,502,美国,1007,食用高粱,541.0
202511,502,美国,1008,荞麦、谷子及加那利草子；其他谷物,126018.0
202511,502,美国,1101,小麦或混合麦的细粉,46011.0
202511,502,美国,1102,其他谷物细粉，但小麦或混合麦的细粉除外,65.0
202511,502,美国,1103,谷物的粗粒、粗粉及团粒,12021.0
202511,502,美国,1104,经其他加工的谷物（例如，去壳、滚压、制片、制成粒状、切片或粗磨），但品目1006的稻谷、大米除外；谷物胚芽，整粒、滚压、制片或磨碎的,99396.0
202511,502,美国,1106,用品目0713的干豆或0714的西谷茎髓及植物根茎、块茎制成的细粉、粗粉及粉末；用第八章产品制成的细粉、粗粉及粉末,620558.0
202511,502,美国,1107,麦芽，不论是否焙制,250.0
202511,502,美国,1108,淀粉；菊粉,134889.0
202511,502,美国,1109,面筋，不论是否干制,59468.0
202511,502,美国,1201,大豆，不论是否破碎,99541.0
202511,502,美国,1206,葵花子，不论是否破碎,131865.0
202511,502,美国,1207,其他含油子仁及果实，不论是否破碎,235287.0
202511,502,美国,1208,含油子仁或果实的细粉及粗粉，但芥子粉除外,183746.0
202511,502,美国,1209,种植用的种子、果实及孢子,1757115.0
202511,502,美国,1211,主要用作香料、药料、杀虫、杀菌或类似用途的植物或这些植物的某部分（包括子仁及果实），鲜、冷、冻或干的，不论是否切割、压碎或研磨成粉,1900256.0
202511,502,美国,1212,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人使用的其他品目未列名的果核、果仁及植物产品（包括未焙制的菊苣根）,7585515.0
202511,502,美国,1302,植物液汁及浸膏；果胶、果胶酸盐及果胶酸脂；从植物产品制得的琼脂、其他胶液及增稠剂，不论是否改性,20758678.0
202511,502,美国,1401,主要作编结用的植物材料（例如，竹子、藤、芦苇、灯芯草、柳条、酒椰叶，已净、漂白或染色的谷类植物的茎秆，椴树皮）,614601.0
202511,502,美国,1404,其他编码未列名的植物产品,1286457.0
202511,502,美国,1504,鱼或海生哺乳动物的油、脂及其分离品，不论是否精制、但未经化学改性,3236309.0
202511,502,美国,1505,羊毛脂及从羊毛脂制得的脂肪物质（包括纯净的羊毛脂）,280015.0
202511,502,美国,1506,其他动物油、脂及其分离品，不论是否精制，但未经化学改性,297599.0
202511,502,美国,1508,花生油及其分离品，不论是否精制，但未经化学改性,125227.0
202511,502,美国,1514,菜子油或芥子油及其分离品，不论是否精制，但未经化学改性,35356.0
202511,502,美国,1515,其他固定植物或微生物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性,1679199.0
202511,502,美国,1516,动、植物或微生物油、脂及其分离品，全部或部分氢化、相互酯化、再酯化或反油酸化，不论是否精制，但未经进一步加工,103515.0
202511,502,美国,1517,人造黄油；本章各种动、植物或微生物油、脂及其分离品混合制成的食用油、脂或制品，但品目1516的食用油、脂及其分离品除外,504846.0
202511,502,美国,1518,动、植物或微生物油、脂及其分离品，经过熟炼、氧化、脱水、硫化、吹制或在真空、惰性气体中加热聚合及用其他化学方法改性的，但品目15.16的产品除外；本章各种油、脂及其分离品混合制成的其他品目未列名的非食用油、脂或制品,45442333.0
202511,502,美国,1521,植物蜡（甘油三酸酯除外）、蜂蜡、其他虫蜡及鲸蜡，不论是否精炼或着色,380845.0
202511,502,美国,1601,肉、食用杂碎、动物血或昆虫制成的香肠及类似产品；用香肠制成的食品,139698.0
202511,502,美国,1602,其他方法制作或保藏的肉、食用杂碎或动物血或昆虫,1025452.0
202511,502,美国,1604,制作或保藏的鱼；鲟鱼子酱及鱼卵制的鲟鱼子酱代用品,32202417.0
202511,502,美国,1605,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物,21925006.0
202511,502,美国,1701,固体甘蔗糖、甜菜糖及化学纯蔗糖,643297.0
202511,502,美国,1702,其他固体糖，包括化学纯乳糖、麦芽糖、葡萄糖及果糖；未加香料或着色剂的糖浆；人造蜜，不论是否掺有天然蜂蜜；焦糖,5438266.0
202511,502,美国,1704,不含可可的糖食（包括白巧克力）,20717825.0
202511,502,美国,1806,巧克力及其他含可可的食品,1727403.0
202511,502,美国,1901,麦精；细粉、粗粒、粗粉、淀粉或麦精制的其他品目未列名的食品，不含可可或按重量计全脱脂可可含量低于40%；品目0401至0404所列货品制的其他品目未列名的食品，不含可可或按重量计全脱脂可可含量低于5%,707100.0
202511,502,美国,1902,面食，不论是否煮熟、包馅（肉馅或其他馅）或其他方法制作，例如，通心粉、面条、汤团、馄饨、饺子、奶油面卷；古斯古斯面食，不论是否制作,16231019.0
202511,502,美国,1903,珍粉及淀粉制成的珍粉代用品，片、粒、珠、粉或类似形状的,222099.0
202511,502,美国,1904,谷物或谷物产品经膨化或烘炒制成的食品（例如，玉米片）；其他品目未列名的预煮或经其他方法制作的谷粒（玉米除外）、谷物片或经其他加工的谷粒（细粉、粗粒及粗粉除外）,5359749.0
202511,502,美国,1905,面包、糕点、饼干及其他焙烘糕饼，不论是否含可可；圣餐饼、装药空囊、封缄、糯米纸及类似制品,4915751.0
202511,502,美国,2001,蔬菜、水果、坚果及植物的其他食用部分，用醋或醋酸制作或保藏的,591382.0
202511,502,美国,2002,番茄，用醋或醋酸以外的其他方法制作或保藏的,201478.0
202511,502,美国,2003,蘑菇及块菌，用醋或醋酸以外的其他方法制作或保藏的,275500.0
202511,502,美国,2004,其他冷冻蔬菜，用醋或醋酸以外的其他方法制作或保藏的，品目2006的货物除外,680019.0
202511,502,美国,2005,其他未冷冻蔬菜，用醋或醋酸以外的其他方法制作或保藏的，品目2006的货物除外,18862357.0
202511,502,美国,2006,糖渍蔬菜、水果、坚果、果皮及植物的其他部分（沥干、糖渍或裹糖的）,567402.0
202511,502,美国,2007,烹煮的果酱、果冻、柑桔酱、果泥及果膏，不论是否加糖或其他甜物质,862607.0
202511,502,美国,2008,用其他方法制作或保藏的其他品目未列名水果、坚果及植物的其他食用部分，不论是否加酒、加糖或其他甜物质,33749821.0
202511,502,美国,2009,未发酵及未加酒精的水果汁或坚果汁（包括酿酒葡萄汁及椰子水）、蔬菜汁，不论是否加糖或其他甜物质,14499741.0
202511,502,美国,2101,咖啡、茶、马黛茶的浓缩精汁及以其为基本成分或以咖啡、茶、马黛茶为基本成分的制品；烘焙菊苣和其他烘焙咖啡代用品及其浓缩汁,3263964.0
202511,502,美国,2102,酵母（活性或非活性）；已死的其他单细胞微生物（不包括品目3002的疫苗）；发酵粉,618410.0
202511,502,美国,2103,调味汁及其制品；混合调味品；芥子粉及其调制品,14084678.0
202511,502,美国,2104,汤料及其制品；均化混合食品,577872.0
202511,502,美国,2105,冰淇淋及其他冰制食品；不论是否含可可,3072849.0
202511,502,美国,2106,其他品目未列名的食品,59608299.0
202511,502,美国,2201,未加糖或其他甜物质及未加味的水，包括天然或人造矿泉水及汽水；冰及雪,18612.0
202511,502,美国,2202,加味、加糖或其他甜物质的水，包括矿泉水及汽水，其他无酒精饮料，但不包括品目20.09的水果汁、坚果汁或蔬菜汁,4183708.0
202511,502,美国,2203,麦芽酿造的啤酒,710163.0
202511,502,美国,2204,鲜葡萄酿造的酒，包括加酒精的；品目2009以外的酿酒葡萄汁,6029.0
202511,502,美国,2206,其他发酵饮料（例如，苹果酒、梨酒、蜂蜜酒、清酒）；其他品目未列名的发酵饮料的混合物及发酵饮料与无酒精饮料的混合物,316767.0
202511,502,美国,2207,未改性乙醇，按容量计酒精浓度≥80％；任何浓度的改性乙醇及其他酒精,20400.0
202511,502,美国,2208,未改性乙醇，按容量计酒精浓度＜80％；蒸馏酒、利口酒及其他酒精饮料,3009512.0
202511,502,美国,2209,醋及用醋酸制得的醋代用品,440345.0
202511,502,美国,2303,制造淀粉过程中的残渣及类似的残渣、甜菜渣、甘蔗渣及制糖过程中的其他残渣，酿造及蒸馏过程中的糟粕积残渣，不论是否制成团粒糖,147069.0
202511,502,美国,2306,品目23.04或23.05以外的提炼植物或微生物油脂所得的油渣饼及其他固体残渣，不论是否碾磨或制成团粒,91617.0
202511,502,美国,2308,动物饲料用的其他处未列名的植物原料、废料、残渣及副产品，不论是否制成团粒,677259.0
202511,502,美国,2309,配制的动物饲料,17818533.0
202511,502,美国,2402,烟草或烟草代用品制成的雪茄烟及卷烟,208440.0
202511,502,美国,2404,含烟草、再造烟草、尼古丁、或烟草或尼古丁代用品，非经燃烧吸用的产品；其他供人体摄入尼古丁的含尼古丁的产品,455720655.0
202511,502,美国,2501,盐（包括精制盐及变性盐）及纯氯化钠，不论是否为水溶液，也不论是否添加抗结块剂或松散剂；海水,206757.0
202511,502,美国,2502,未焙烧的黄铁矿,196.0
202511,502,美国,2504,天然石墨,2561197.0
202511,502,美国,2506,石英（天然砂除外）；石英岩，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块,14180.0
202511,502,美国,2507,高岭土及类似土，不论是否锻烧,92269.0
202511,502,美国,2508,其他黏土（不包括品目6806的膨胀黏土）、红柱石、蓝晶石及硅线石，不论是否煅烧；富铝红柱石；火泥及第纳斯土,717235.0
202511,502,美国,2513,浮石；刚玉岩；天然刚玉砂；天然石榴石及其他天然磨料，不论是否热处理,1206857.0
202511,502,美国,2516,花岗岩、斑岩、玄武岩、砂岩以及其他等碑用或建筑用石，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块,42117.0
202511,502,美国,2517,通常作混凝土粒料、铺路、铁道路基或其他路基的卵石、砾石及碎石，圆石子及燧石，不论是否热处理；矿渣、浮渣及类似的工业残渣，不论是否混有本品目第一部分所列的材料；沥青碎石，品名2515、2516所列各种石料的碎粒、碎屑及粉末，不论是否认处理,186140.0
202511,502,美国,2519,天然碳酸镁（菱镁矿）；熔凝镁氧矿；烧结镁氧矿，不论烧结前是否加入少量的其他氧化物；其他氧化镁不论是否纯净,21745905.0
202511,502,美国,2520,生石膏；硬石膏；熟石膏（由煅烧的生石膏或硫酸钙构成），不论是否着色，也不论是否带有少量促凝剂或缓凝剂,44067.0
202511,502,美国,2521,石灰石助熔剂；通常用于制造石灰或水泥的石灰石及其他钙质石,26178.0
202511,502,美国,2522,生石灰、熟石灰及水硬石灰，但品目2825的氧化钙及氢氧化钙除外,19926.0
202511,502,美国,2523,硅酸盐水泥、矾土水泥、矿渣水泥、富硫酸盐水泥及类似的水凝水泥,18308.0
202511,502,美国,2525,云母，包括云母片；云母废料,301405.0
202511,502,美国,2526,天然冻石，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块；滑石,14212.0
202511,502,美国,2529,长石；白榴石；霞石及霞石正长岩；萤石（氟石）,1655115.0
202511,502,美国,2530,其他品目未列名的矿产品,15668.0
202511,502,美国,2601,铁矿砂及其精矿，包括焙烧黄铁矿,1540.0
202511,502,美国,2618,冶炼钢铁所产生的粒状熔渣（熔渣砂）,40.0
202511,502,美国,2621,其他矿渣及矿灰，包括海藻灰（海草灰）；焚化城市垃圾所产生的灰、渣,261969.0
202511,502,美国,2704,煤、褐煤或泥煤制成的焦炭及半焦炭，不论是否制成型；甑炭,1298924.0
202511,502,美国,2708,从煤焦油或其他矿物焦油所得的沥青及沥青焦,52378.0
202511,502,美国,2710,石油及从沥青矿物提取的油类，但原油除外；以上述油为基本成分(按重量计不低于70%)的其他品目未列名制品；废油,239698338.0
202511,502,美国,2711,石油气及其他烃类气,172466.0
202511,502,美国,2712,凡士林；石蜡、微晶石蜡、疏松石蜡、地蜡、褐煤蜡、泥煤蜡、其他矿物蜡及用合成或其他方法制得的类似产品，不论是否着色,3484134.0
202511,502,美国,2803,碳（碳黑及其他品目未列名的其他形态的碳）,335748.0
202511,502,美国,2804,氢、稀有气体及其他非金属,899514.0
202511,502,美国,2805,碱金属、碱土金属；稀土金属、钪及钇，不论是否相互混合或相互熔合；汞,1744977.0
202511,502,美国,2806,氯化氢（盐酸）；氯磺酸,173365.0
202511,502,美国,2807,硫酸；发烟硫酸,7719.0
202511,502,美国,2808,硝酸；磺硝酸,30771.0
202511,502,美国,2809,五氧化二磷；磷酸；多磷酸，不论是否已有化学定义,227430.0
202511,502,美国,2810,硼的氧化物；硼酸,5751.0
202511,502,美国,2811,其他无机酸及非金属无机氧化物,4707428.0
202511,502,美国,2812,非金属卤化物及卤氧化物,618945.0
202511,502,美国,2815,氢氧化钠（烧碱）；氢氧化钾（苛性钾）；过氧化钠及过氧化钾,120864.0
202511,502,美国,2816,氢氧化及过氧化镁；锶或钡的氧化物、氢氧化物及过氧化物,16550.0
202511,502,美国,2817,氧化锌及过氧化锌,6452.0
202511,502,美国,2818,人造刚玉，不论是否已有化学定义；氧化铝；氢氧化铝,11105017.0
202511,502,美国,2819,铬的氧化物及氢氧化物,99021.0
202511,502,美国,2820,锰的氧化物,265619.0
202511,502,美国,2821,铁的氧化物及氢氧化物；土色料，按重量计三氧化二铁含量≥70%,4756830.0
202511,502,美国,2822,钴的氧化物及氢氧化物；商品氧化钴,23994.0
202511,502,美国,2823,钛的氧化物,1008076.0
202511,502,美国,2825,肼（联氨）、胲（羟胺）及其无机盐；其他无机碱；其他金属氧化物、氢氧化物及过氧化物,10723090.0
202511,502,美国,2826,氟化物；氟硅酸盐、氟铝酸盐及其他氟络盐,2794545.0
202511,502,美国,2827,氯化物、氯氧化物及氢氧基氯化物；溴化物及溴氧化物；碘化物及碘氧化物,4271277.0
202511,502,美国,2828,次氯酸盐；商品次氯酸钙；亚氯酸盐；次溴酸盐,165061.0
202511,502,美国,2829,氯酸盐及高氯酸盐；溴酸盐及过溴酸盐；碘酸盐及高碘酸盐,36000.0
202511,502,美国,2830,硫化物；多硫化物，不论是否已有化学定义,72448.0
202511,502,美国,2831,连二亚硫酸盐及次硫酸盐,87750.0
202511,502,美国,2832,亚硫酸盐；硫代硫酸盐,280280.0
202511,502,美国,2833,硫酸盐；矾；过硫酸盐,2790982.0
202511,502,美国,2834,亚硝酸盐；硝酸盐,559280.0
202511,502,美国,2835,次磷酸盐、亚磷酸盐及磷酸盐；多磷酸盐，不论是否已有化学定义,5727397.0
202511,502,美国,2836,碳酸盐；过碳酸盐；含氨基甲酸铵的商品碳酸铵,441918.0
202511,502,美国,2837,氰化物、氧氰化物及氰络合物,253694.0
202511,502,美国,2839,硅酸盐；商品碱金属硅酸盐,84745.0
202511,502,美国,2840,硼酸盐及过硼酸盐,61831.0
202511,502,美国,2841,金属酸盐及过金属酸盐,1443641.0
202511,502,美国,2842,其他无机酸盐及过氧酸盐（包括不论是否已有化学定义的硅铝酸盐），但叠氮化物除外,3901437.0
202511,502,美国,2843,胶态贵金属；贵金属的无机或有机化合物，不论是否已有化学定义；贵金属汞齐,78717.0
202511,502,美国,2844,放射性化学元素及放射性同位素（包括可裂变或可转换的化学元素及同位素）及其化合物；含上述产品的混合物及残渣,52860.0
202511,502,美国,2845,品目28.44以外的同位素；这些同位素的无机或有机化合物，不论是否已有化学定义,230387.0
202511,502,美国,2846,稀土金属、钇、钪及其混合物的无机或有机化合物,8166601.0
202511,502,美国,2849,碳化物，不论是否已有化学定义,6432627.0
202511,502,美国,2850,氢化物、氮化物、叠氮化物、硅化物及硼化物，不论是否已有化学定义，但可归入品目2849的碳化物除外,971515.0
202511,502,美国,2853,磷化物，不论是否已有化学定义，但磷铁除外；其他无机化合物（包括蒸馏水、导电水及类似的纯净水）；液态空气（不论是否除去稀有气体）；压缩空气；汞齐，但贵金属汞齐除外,452109.0
202511,502,美国,2901,无环烃,315260.0
202511,502,美国,2902,环烃,890502.0
202511,502,美国,2903,烃的卤化衍生物,15911997.0
202511,502,美国,2904,烃的磺化、硝化或亚硝化衍生物，不论是否卤化,491121.0
202511,502,美国,2905,无环醇及其卤化、磺化、硝化或亚硝化衍生物,4080694.0
202511,502,美国,2906,环醇及其卤化、磺化、硝化或亚硝化衍生物,1548613.0
202511,502,美国,2907,酚；酚醇,1679737.0
202511,502,美国,2908,酚及酚醇的卤化、磺化、硝化或亚硝化衍生物,563235.0
202511,502,美国,2909,醚、醚醇、醚酚、醚醇酚、过氧化醇、过氧化醚、缩醛及半缩醛过氧化物、过氧化酮(不论是否已有化学定义）及其卤化、磺化、硝化或亚硝化衍生物,6013611.0
202511,502,美国,2910,三节环环氧化物、环氧醇、环氧酚、环氧醚及其卤化、磺化、硝化或亚硝化衍生物,206224.0
202511,502,美国,2911,缩醛及半缩醛，不论是否含有其他含氧基，及其卤化、磺化、硝化或亚硝化衍生物,88893.0
202511,502,美国,2912,醛，不论是否含有其他含氧基；环聚醛；多聚甲醛,5105716.0
202511,502,美国,2913,品目2912产品的卤化、磺化、硝化或亚硝化衍生物,12928.0
202511,502,美国,2914,酮及醌，不论是否含有其他含氧基，及其卤化、磺化、硝化或亚硝化衍生物,14822276.0
202511,502,美国,2915,饱和无环一元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,4108481.0
202511,502,美国,2916,不饱和无环一元羧酸、环一元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,11087041.0
202511,502,美国,2917,多元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,6181789.0
202511,502,美国,2918,含附加含氧基的羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,28815761.0
202511,502,美国,2919,磷酸脂及其盐，包括乳磷酸盐，以及它们的卤化、磺化、硝化或亚硝化衍生物,2732992.0
202511,502,美国,2920,其他非金属无机酸酯（不包括卤化氢的酯）及其盐以及它们的卤化、磺化、硝化或亚硝化衍生物,2353709.0
202511,502,美国,2921,氨基化合物,8245671.0
202511,502,美国,2922,含氧基氨基化合物,18859828.0
202511,502,美国,2923,季铵盐及季铵碱；卵磷脂及其他磷氨基类脂,8523531.0
202511,502,美国,2924,羧基酰胺基化合物；碳酸酰胺基化合物,16339608.0
202511,502,美国,2925,羧基酰亚胺化合物（包括糖精及其盐）及亚胺基化合物,14240712.0
202511,502,美国,2926,腈基化合物,12105693.0
202511,502,美国,2927,重氮化合物、偶氮化合物及氧化偶氮化合物,250585.0
202511,502,美国,2928,肼（联氨）及胲（羟胺）的有机衍生物,4664426.0
202511,502,美国,2929,其他含氮基化合物,3063834.0
202511,502,美国,2930,有机硫化合物,26412445.0
202511,502,美国,2931,其他有机?无机化合物,36846458.0
202511,502,美国,2932,仅含氧杂原子的杂环化合物,26631921.0
202511,502,美国,2933,仅含有氮杂原子的杂环化合物,83868727.0
